resume_text,category
"Mechanical Engineer with 7 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include product design, quality control, project planning, manufacturing processes, cad modeling, autocad, solidworks. Familiar with tools such as ms project, autocad, ansys. Education, Bachelor of Engineering.",Mechanical Engineering
"Design Engineer with 5 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include quality control, product design, thermodynamics, autocad, root cause analysis, manufacturing processes, cad modeling. Familiar with tools such as ansys, solidworks. Education, Bachelor of Engineering.",Mechanical Engineering
"Mechanical Engineer with 3 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include thermodynamics, manufacturing processes, solidworks, six sigma, quality control, product design, autocad. Familiar with tools such as solidworks, ms project, ansys, autocad. Education, Master of Business Administration.",Mechanical Engineering
"Backend Developer with 5 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include javascript, rest api, system design, java, microservices, data structures, react. Familiar with tools such as aws, jenkins, postman. Education, Diploma in relevant discipline.",Software Development
"UI UX Designer with 4 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include css, responsive design, javascript, photoshop, figma, ux research. Familiar with tools such as adobe xd, figma. Education, Diploma in relevant discipline.",Web Designing
"Backend Developer with 3 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include object oriented programming, microservices, javascript, node js, algorithms. Familiar with tools such as docker, aws, git, jenkins. Education, Bachelor of Science, graduated with distinction.",Software Development
"Production Engineer with 6 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include quality control, cad modeling, thermodynamics, root cause analysis, manufacturing processes, product design. Familiar with tools such as ms project, ansys. Education, Diploma in relevant discipline.",Mechanical Engineering
"HR Executive with 8 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include recruitment, employee engagement, employee relations, labor law, payroll, hr policies, talent acquisition, performance management. Familiar with tools such as workday, linkedin recruiter. Education, Bachelor of Engineering.",Human Resources
"HR Generalist with 1 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include talent acquisition, conflict resolution, labor law, recruitment, hr policies, performance management, onboarding, employee relations. Familiar with tools such as workday, linkedin recruiter, sap successfactors. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Backend Developer with 3 years of experience. Built REST APIs and integrated them with front end applications. Key skills include microservices, python, node js, java, data structures, object oriented programming, system design. Familiar with tools such as git, jenkins, aws, postman. Education, Master of Business Administration.",Software Development
"Talent Acquisition Specialist with 5 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include conflict resolution, employee relations, labor law, talent acquisition, employee engagement, hr policies. Familiar with tools such as sap successfactors, workday, excel. Education, Diploma in relevant discipline.",Human Resources
"Web Designer with 1 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include react, figma, bootstrap, adobe xd, ux research, wireframing. Familiar with tools such as figma, adobe xd. Education, Bachelor of Science, graduated with distinction.",Web Designing
"Backend Developer with 2 years of experience. Built REST APIs and integrated them with front end applications. Key skills include c++, react, python, microservices, rest api. Familiar with tools such as git, aws, docker, jenkins. Education, Bachelor of Engineering.",Software Development
"Design Engineer with 6 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include thermodynamics, autocad, root cause analysis, manufacturing processes, quality control, six sigma, solidworks, cad modeling. Familiar with tools such as solidworks, autocad. Education, Bachelor of Engineering.",Mechanical Engineering
"Data Analyst Intern with 6 years of experience. Worked on classification and regression problems for real world applications. Key skills include pytorch, scikit learn, sql, deep learning, machine learning. Familiar with tools such as power bi, docker. Education, Diploma in relevant discipline.",Data Science
"Production Engineer with 3 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include thermodynamics, project planning, root cause analysis, cad modeling, six sigma. Familiar with tools such as solidworks, ms project. Education, Bachelor of Engineering.",Mechanical Engineering
"Business Development Associate with 6 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include crm, sales forecasting, market research, cold calling, client relationship management, customer retention. Familiar with tools such as excel, hubspot, salesforce. Education, Diploma in relevant discipline.",Sales
